,ticker,profit_loss
0,A,-1.1110023498535155
1,AAL,0.0
2,AAP,-0.0509979248046875
3,AAPL,-1.6332519531249998
4,ABBV,-2.6990005493164064
5,ABC,-0.48500061035156256
6,ABMD,3.8150039672851563
7,ABT,4.675997161865234
8,ACN,0.38699798583984374
9,ADBE,-39.659994506835936
10,ADI,1.9639938354492188
11,ADM,0.3700000762939453
12,ADP,1.5310211181640625
13,ADSK,-4.590997314453125
14,AEE,4.656999969482422
15,AEP,4.445004272460937
16,AES,0.0
17,AFL,1.2749992370605467
18,AIG,0.19899978637695315
19,AIZ,0.36599884033203123
20,AJG,-0.002999114990234375
21,AKAM,-1.0200035095214843
22,ALB,-0.9710014343261719
23,ALGN,-32.47301483154297
24,ALK,-2.9230001449584964
25,ALL,-1.3079978942871096
26,ALLE,2.8089981079101562
27,AMAT,5.110999679565429
28,AMCR,-0.01900005340576172
29,AMD,2.8709957122802736
30,AME,3.1730018615722657
31,AMGN,-2.36199951171875
32,AMP,2.4240036010742188
33,AMT,-2.8289947509765625
34,AMZN,341.04514160156253
35,ANET,-16.571998596191406
36,ANSS,9.698992919921876
37,ANTM,3.1260040283203123
38,AON,0.17499847412109373
39,AOS,-0.01900177001953125
40,APA,0.053999900817871094
41,APD,0.0
42,APH,0.08499870300292968
43,APTV,-1.6229972839355469
44,ARE,10.068000793457031
45,ATO,0.0
46,ATVI,1.1219985961914063
47,AVB,4.454002380371094
48,AVGO,-18.44499969482422
49,AVY,-0.44600143432617184
50,AWK,-2.183003234863281
51,AXP,-0.46600189208984377
52,AZO,10.3580078125
53,BA,-1.6110000610351565
54,BAC,-0.06899986267089843
55,BAX,-1.5740020751953125
56,BBWI,0.0
57,BBY,-20.007004547119138
58,BDX,-0.736993408203125
59,BEN,0.36499996185302735
60,BIIB,-2.976995849609375
61,BIO,3.6760009765625
62,BK,-1.0190010070800781
63,BKNG,-51.039013671875
64,BKR,0.1089999198913574
65,BLK,-19.447006225585938
66,BLL,0.6099998474121093
67,BMY,0.844000244140625
68,BR,0.11600112915039061
69,BRK-B,-1.2669998168945313
70,BSX,0.9130008697509765
71,BWA,-0.20299987792968752
72,BXP,3.7749977111816406
73,C,0.09600067138671875
74,CAG,0.2049999237060547
75,CAH,-0.1639995574951172
76,CARR,-0.2170001983642578
77,CAT,-3.747997283935547
78,CB,1.0630035400390625
79,CBOE,-0.20100021362304688
80,CBRE,0.39500312805175786
81,CCI,-1.642997741699219
82,CCL,-0.755000114440918
83,CDNS,-1.5670074462890624
84,CDW,-1.1899978637695312
85,CE,0.6110000610351562
86,CERN,-1.7219993591308596
87,CF,-0.3110004425048828
88,CFG,0.13900012969970701
89,CHD,0.7179977416992188
90,CHRW,0.3769996643066406
91,CHTR,-2.43800048828125
92,CI,-9.99399871826172
93,CINF,0.15800018310546873
94,CL,1.7089984893798829
95,CLX,10.82900390625
96,CMA,0.7439998626708985
97,CMCSA,-0.869000244140625
98,CME,0.48300476074218746
99,CMG,-48.87894287109375
100,CMI,-0.7719970703125
101,CMS,-0.5519996643066407
102,CNC,-1.3510005950927735
103,CNP,-0.21499996185302736
104,COF,-1.931997299194336
105,COG,-0.0020000457763671878
106,COO,-2.344000244140625
107,COP,0.9159999847412109
108,COST,-1.1249938964843749
109,CPB,-0.2370006561279297
110,CPRT,-8.077001190185547
111,CRL,-1.5389991760253905
112,CRM,-15.925012969970703
113,CSCO,1.799997329711914
114,CSX,-0.020000076293945315
115,CTAS,-0.757000732421875
116,CTLT,-15.163998413085938
117,CTSH,-0.16200599670410157
118,CTVA,0.3540000915527344
119,CTXS,-0.7649925231933594
120,CVS,-0.05400352478027344
121,CVX,2.6260002136230467
122,CZR,-2.0679988861083984
123,D,-0.1389991760253906
124,DAL,-1.2329994201660155
125,DD,0.1289997100830078
126,DE,0.5629974365234375
127,DFS,-0.6069999694824219
128,DG,-2.5720062255859375
129,DGX,0.18699569702148436
130,DHI,0.05799942016601563
131,DHR,1.4889999389648438
132,DIS,-4.183001708984375
133,DISCA,2.8520002365112305
134,DISCK,1.3300010681152343
