,Symbol,Market Cap,Industry,pl5
6,AAON,3412531093.0,Industrial Machinery/Components,1.5550010681152344
9,AAWW,2147261066.0,Transportation Services,-0.495999526977539
10,ABCB,3183440604.0,Major Banks,-1.4949996948242188
11,ABCL,5585225835.0,,-0.4480009078979492
12,ABCM,4635412123.0,Biotechnology: Biological Products (No Diagnostic Substances),0.0
24,ACAD,2649007753.0,Biotechnology: Pharmaceutical Preparations,-2.2479980468750003
33,ACCD,2885770595.0,,-0.22600097656249998
43,ACHC,5529293710.0,Hospital/Nursing Management,0.4010002136230469
47,ACIW,3607946661.0,EDP Services,-0.1230001449584961
61,ACT,3276340800.0,Specialty Insurers,
65,ACVA,3055718933.0,EDP Services,-0.2269998550415039
74,ADGI,5243564184.0,Biotechnology: Pharmaceutical Preparations,
87,ADPT,5419485187.0,Biotechnology: Biological Products (No Diagnostic Substances),3.5223011016845702
92,ADV,2707875277.0,Advertising,0.013000011444091797
104,AEIS,3217198524.0,Electrical Products,1.879000473022461
138,AGIO,2726505441.0,Biotechnology: Pharmaceutical Preparations,0.3990005493164062
141,AGNC,8364415067.0,Real Estate Investment Trusts,0.005000114440917969
151,AHCO,3143165307.0,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-0.24319934844970703
156,AIMC,3484987150.0,Industrial Machinery/Components,0.35600032806396487
176,ALEC,2073645846.0,Biotechnology: Pharmaceutical Preparations,0.9017004013061523
179,ALGM,6343676830.0,Semiconductors,-0.3150018692016602
182,ALGT,3467978415.0,Air Freight/Delivery Services,-0.33500137329101565
183,ALHC,3314745941.0,Medical Specialities,-1.2519990921020507
186,ALKS,4796386149.0,Biotechnology: Pharmaceutical Preparations,-0.9240008354187013
187,ALKT,2219774146.0,EDP Services,-0.13099994659423828
188,ALLK,5731994105.0,Biotechnology: Pharmaceutical Preparations,-5.420997619628906
189,ALLO,3547476279.0,Biotechnology: Biological Products (No Diagnostic Substances),-1.0320016860961914
197,ALRM,3845898142.0,Computer Software: Prepackaged Software,-5.391397857666016
204,ALTR,5446226659.0,Computer Software: Prepackaged Software,-3.4070028305053714
209,ALXO,3011589871.0,Biotechnology: Pharmaceutical Preparations,-1.210000991821289
217,AMBA,5320223072.0,Semiconductors,-3.282001113891601
221,AMED,5488695504.0,Medical/Nursing Services,4.217987060546875
222,AMEH,3963217597.0,Managed Health Care,0.3280007362365723
226,AMKR,6330945526.0,Semiconductors,0.2019998550415039
233,AMRN,2002206676.0,Biotechnology: Pharmaceutical Preparations,0.04200015068054199
234,AMRS,4046244765.0,Industrial Specialties,0.2379998207092285
247,ANAT,5075832834.0,Life Insurance,0.061998748779296876
250,ANGI,5919249018.0,EDP Services,0.023000001907348633
264,APA,7195639995.0,Oil & Gas Production,-0.05000019073486328
271,API,3158633646.0,Computer Software: Prepackaged Software,0.0
272,APLS,2942016082.0,Biotechnology: Pharmaceutical Preparations,-2.0553998947143555
279,APPF,4158973137.0,EDP Services,-2.880000305175781
282,APPN,7009797089.0,EDP Services,-17.688198471069335
283,APPS,6067521455.0,Computer Software: Prepackaged Software,1.6369995832443238
299,ARCC,9020639042.0,Finance/Investors Services,0.0
310,ARNA,3658968263.0,Biotechnology: Pharmaceutical Preparations,1.9660015106201172
312,ARQQ,2015444503.0,,0.0
316,ARRY,2338585966.0,Semiconductors,-0.14179954528808594
324,ARVL,7730574509.0,Auto Manufacturing,0.0
325,ARVN,4998416975.0,Biotechnology: Pharmaceutical Preparations,4.779002761840821
326,ARWR,6656953496.0,Biotechnology: Pharmaceutical Preparations,-1.650399398803711
337,ASND,9119573876.0,Biotechnology: Pharmaceutical Preparations,0.0
338,ASO,3840195782.0,Recreational Products/Toys,-0.444399642944336
352,ASTR,2332571183.0,,0.0
354,ASTS,2078896323.0,Telecommunications Equipment,-0.21599998474121093
358,ATAI,2498775703.0,,0.8639991760253907
379,ATRC,3390254157.0,Medical/Dental Instruments,-1.655998992919922
393,AUB,2542478077.0,Major Banks,0.6530000686645508
398,AUPH,2686042793.0,,-0.001999950408935547
409,AVAV,2143956876.0,Aerospace,0.6079978942871094
419,AVIR,2555324045.0,Specialty Chemicals,1.1419998168945313
425,AVT,3649793625.0,Electronic Components,0.17699966430664063
434,AXNX,3258019308.0,Medical/Dental Instruments,0.18999824523925782
438,AY,3969491201.0,Electric Utilities: Central,0.0
443,AZPN,8402051492.0,EDP Services,2.0649940490722654
446,BAND,2532141610.0,Computer Software: Prepackaged Software,5.620992660522461
455,BBBY,2490557682.0,Other Specialty Stores,0.28300018310546876
460,BBIO,7660500926.0,Biotechnology: Pharmaceutical Preparations,-2.473000144958496
476,BCPC,4489631352.0,Industrial Specialties,0.48600006103515625
477,BCRX,2738498598.0,Biotechnology: Biological Products (No Diagnostic Substances),-0.3850000858306885
486,BEAM,6452603727.0,Specialty Chemicals,-1.0680007934570312
487,BECN,3449910406.0,Wholesale Distributors,0.4879996299743652
508,BHF,3503095604.0,Life Insurance,-2.035999870300293
517,BIGC,3850610291.0,Computer Software: Prepackaged Software,-13.153000259399414
536,BL,6896342601.0,Computer Software: Prepackaged Software,-4.298002243041992
542,BLDP,4490877256.0,,0.0
547,BLKB,3282012341.0,Computer Software: Prepackaged Software,1.36400146484375
548,BLMN,2219007893.0,Restaurants,-0.15900001525878907
562,BMBL,6805803153.0,Computer Software: Prepackaged Software,3.446000671386719
573,BNR,2055946036.0,Medical Specialities,0.0
578,BOKF,5694828078.0,Major Banks,-0.6790023803710937
589,BPMC,6125672162.0,Biotechnology: Pharmaceutical Preparations,-3.1250030517578122
590,BPOP,5720405925.0,Major Banks,0.034999847412109375
611,BRKS,7664450564.0,Industrial Machinery/Components,-1.1859943389892578
617,BRP,3226994304.0,Specialty Insurers,-0.23600053787231445
665,BYND,7109167411.0,Specialty Foods,-8.8924991607666
676,CACC,9198627857.0,Finance: Consumer Services,10.856988525390625
681,CAKE,2297944795.0,Restaurants,-2.0899993896484377
690,CAR,6258325041.0,Rental/Leasing Companies,2.088001251220703
693,CARG,3670219720.0,,1.9709997177124023
699,CASY,7046399197.0,Food Chains,1.8029998779296876
701,CATY,3002302384.0,Major Banks,0.6360002517700195
709,CBRL,3266646897.0,Restaurants,-0.5410003662109375
710,CBSH,7661188199.0,Major Banks,-0.17587318420410156
716,CCCC,2375712662.0,Biotechnology: Pharmaceutical Preparations,-0.6674997329711915
721,CCMP,3670327788.0,Semiconductors,-0.7370010375976562
725,CCOI,3434308714.0,Telecommunications Equipment,-1.2399978637695312
728,CD,3446127907.0,Investment Bankers/Brokers/Service,-0.07100000381469727
731,CDK,5067690809.0,Retail: Computer Software & Peripheral Equipment,1.059000015258789
732,CDLX,2925371516.0,EDP Services,-0.8409931182861328
734,CDNA,3409714020.0,Medical Specialities,-3.2841997146606445
744,CELH,6698193509.0,Beverages (Production/Distribution),0.5040038585662843
749,CENT,2582017596.0,,0.24799957275390624
750,CENTA,2313510049.0,,0.0
752,CERE,5413784351.0,Specialty Chemicals,-0.10799951553344728
755,CERT,5301355460.0,Specialty Chemicals,-1.677799987792969
779,CGC,5460869200.0,,-0.10399971008300782
788,CHDN,8629164853.0,Services-Misc. Amusement & Recreation,-5.342002868652344
793,CHK,6002990409.0,Oil & Gas Production,0.0
799,CHNG,6755026610.0,Managed Health Care,0.12600002288818357
816,CHX,4189413278.0,Construction/Ag Equipment/Trucks,-0.13299999237060547
819,CIFR,3164820909.0,Investment Bankers/Brokers/Service,0.02449989318847656
821,CIGI,5537145005.0,,-0.3219997406005859
838,CLBT,2040139146.0,,0.0
841,CLDX,2466791408.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances,1.6329998970031738
854,CLOV,3490344000.0,Medical Specialities,0.0
884,CMPR,2173691547.0,Recreational Products/Toys,-0.49300003051757807
907,CNXC,8739509246.0,Computer Software: Prepackaged Software,-0.20100021362304688
917,COKE,3635397805.0,Beverages (Production/Distribution),0.0
918,COLB,2366883146.0,Major Banks,0.3520000457763672
923,COLM,6553164164.0,Apparel,1.029998779296875
924,COMM,2830238071.0,Radio And Television Broadcasting And Communications Equipment,0.08199992179870605
927,CONE,9586630050.0,Real Estate Investment Trusts,1.9959983825683596
935,COOP,2997064523.0,Finance: Consumer Services,-0.25299997329711915
936,CORT,2375336628.0,Biotechnology: Pharmaceutical Preparations,1.3370001792907715
963,CRCT,6726959341.0,Wholesale Distributors,0.779901123046875
966,CREE,9660690932.0,Semiconductors,
975,CRNC,3853478325.0,EDP Services,-5.079398727416992
978,CRON,2113714535.0,,0.056200027465820306
979,CROX,9518784625.0,Shoe Manufacturing,-0.5069995880126953
980,CRSP,8927807036.0,Biotechnology: Biological Products (No Diagnostic Substances),-0.6229969024658203
981,CRSR,2675366998.0,Computer Manufacturing,1.0091995239257812
984,CRTO,2080289562.0,Advertising,-0.19719982147216797
